Organism	Node	Score
Rat	cpd:C00272	0
Rat	24311	0
Rat	cpd:C14818	0
Rat	chebi:350546	0
Rat	cpd:C00080	0
Rat	chebi:15374	0
Rat	cpd:C01598	0
Rat	cpd:C00011	0
Rat	25120	0
Rat	chebi:58266	0
Rat	chebi:57287	0
Rat	chebi:57288	0
Rat	cpd:C00978	0
Rat	246281	0
Rat	359726	0
Rat	361390	0
Rat	63865	0
Rat	chebi:43074	0
Rat	81726	0
Rat	cpd:C00280	0
Rat	81727	0
Rat	313786	0
Rat	cpd:C04644	0
Rat	311129	0
Rat	rno-miR-199a-5p	0
Rat	690244	0
Rat	60351	0
Rat	chebi:63910	0
Rat	140910	0
Rat	303879	0
Rat	cpd:C01143	0
Rat	25116	0
Rat	25117	0
Rat	292097	0
Rat	rno-miR-125b-5p	0
Rat	cpd:C03205	0
Rat	cpd:C00058	0
Rat	chebi:37643	0
Rat	cpd:C05501	0
Rat	192242	0
Rat	cpd:C00735	0
Rat	291699	0
Rat	24917	0
Rat	291211	0
Rat	25322	0
Rat	307092	0
Rat	25329	0
Rat	296461	0
Rat	cpd:C01953	0
Rat	58978	0
Rat	25440	0
Rat	24230	0
Rat	cpd:C01277	0
Rat	chebi:48736	0
Rat	cpd:C01164	0
Rat	cpd:C02373	0
Rat	170698	0
Rat	116463	0
Rat	cpd:C00751	0
Rat	25573	0
Rat	cpd:C04554	0
Rat	chebi:57692	0
Rat	cpd:C01724	0
Rat	chebi:507393	0
Rat	25429	0
Rat	cpd:C06341	0
Rat	cpd:C15613	0
Rat	cpd:C15614	0
Rat	rno-miR-144-3p	0
Rat	cpd:C15610	0
Rat	cpd:C01330	0
Rat	502348	0
Rat	25428	0
Rat	25427	0
Rat	cpd:C00005	0
Rat	cpd:C00006	0
Rat	cpd:C04722	0
Rat	691018	0
Rat	25541	0
Rat	cpd:C05138	0
Rat	chebi:48833	0
Rat	chebi:48834	0
Rat	64191	0
Rat	cpd:C13550	0
Rat	cpd:C00129	0
Rat	29580	0
Rat	chebi:57305	0
Rat	25675	0
Rat	25557	0
Rat	cpd:C01227	0
Rat	29230	0
Rat	309262	0
Rat	chebi:29747	0
Rat	291527	0
Rat	289456	0
Rat	79111	0
Rat	cpd:C15518	0
Rat	25527	0
Rat	cpd:C15519	0
Rat	cpd:C00027	0
Rat	chebi:456216	0
Rat	chebi:57540	0
Rat	29680	0
Rat	303497	0
Rat	301517	0
Rat	299270	0
Rat	cpd:C03428	0
Rat	cpd:C01921	0
Rat	83724	0
Rat	cpd:C00951	0
Rat	chebi:1301	0
Rat	cpd:C01124	0
Rat	362782	0
Rat	cpd:C15520	0
Rat	300790	0
Rat	65192	0
Rat	84013	0
Rat	cpd:C18230	0
Rat	cpd:C01802	0
Rat	cpd:C11455	0
Rat	cpd:C05450	0
Rat	cpd:C05451	0
Rat	cpd:C05452	0
Rat	cpd:C05453	0
Rat	cpd:C05454	0
Rat	cpd:C05455	0
Rat	chebi:43474	0
Rat	64677	0
Rat	cpd:C04483	0
Rat	24777	0
Rat	cpd:C15816	0
Rat	29540	0
Rat	78968	0
Rat	117182	0
Rat	cpd:C00448	0
Rat	cpd:C05460	0
Rat	302705	0
Rat	cpd:C05465	0
Rat	cpd:C01780	0
Rat	79122	0
Rat	619549	0
Rat	79243	0
Rat	rno-miR-451-5p	0
Rat	79244	0
Rat	cpd:C03845	0
Rat	114100	0
Rat	cpd:C01301	0
Rat	cpd:C05467	0
Rat	89842	0
Rat	81681	0
Rat	300095	0
Rat	cpd:C05107	0
Rat	cpd:C05108	0
Rat	cpd:C05109	0
Rat	chebi:29744	0
Rat	cpd:C17339	0
Rat	cpd:C17336	0
Rat	24873	0
Rat	24192	0
Rat	cpd:C00468	0
Rat	308100	0
Rat	cpd:C00100	0
Rat	cpd:C00341	0
Rat	246211	0
Rat	cpd:C01673	0
Rat	313929	0
Rat	cpd:C05488	0
Rat	cpd:C01561	0
Rat	291182	0
Rat	chebi:36252	0
Rat	cpd:C00235	0
Rat	chebi:63842	0
Rat	rno-miR-103-3p	0
Rat	chebi:63843	0
Rat	117278	0
Rat	chebi:36257	0
Rat	chebi:63841	0
Rat	chebi:63844	0
Rat	chebi:58146	0
Rat	140668	0
Rat	363675	0
Rat	chebi:63848	0
Rat	chebi:63849	0
Rat	chebi:52386	0
Rat	cpd:C01054	0
Rat	25146	0
Rat	cpd:C00084	0
Rat	cpd:C01176	0
Rat	362360	0
Rat	cpd:C03594	0
Rat	114700	0
Rat	259221	0
Rat	cpd:C02140	0
Rat	29189	0
Rat	chebi:63831	0
Rat	cpd:C00762	0
Rat	29500	0
Rat	305291	0
Rat	chebi:63830	0
Rat	chebi:63835	0
Rat	83791	0
Rat	chebi:63833	0
Rat	chebi:62989	0
Rat	chebi:63834	0
Rat	cpd:C03917	0
Rat	chebi:63839	0
Rat	chebi:57286	0
Rat	chebi:63837	0
Rat	chebi:63838	0
Rat	chebi:57945	0
Rat	25279	0
Rat	29637	0
Rat	cpd:C00095	0
Rat	chebi:134117	0
Rat	84509	0
Rat	cpd:C00535	0
Rat	chebi:36234	0
Rat	chebi:37565	0
Rat	29632	0
Rat	310645	0
Rat	24186	0
Rat	cpd:C00410	0
Rat	cpd:C01189	0
Rat	chebi:63824	0
Rat	301024	0
Rat	chebi:63829	0
Rat	cpd:C00418	0
Rat	301264	0
Rat	29725	0
Rat	24950	0
Rat	chebi:48778	0
Rat	cpd:C05437	0
Rat	cpd:C00305	0
Rat	cpd:C05439	0
Rat	chebi:33737	0
Rat	chebi:33738	0
Rat	cpd:C05443	0
Rat	cpd:C05444	0
Rat	293688	0
Rat	80848	0
Rat	83569	0
Rat	309527	0
Rat	89789	0
Rat	cpd:C05445	0
Rat	362827	0
Rat	cpd:C05446	0
Rat	365410	0
Rat	cpd:C05447	0
Rat	cpd:C05448	0
Rat	chebi:57373	0
Rat	cpd:C05449	0
Rat	89784	0
Rat	297893	0
Rat	114208	0
Rat	316742	0
Rat	500695	0
Rat	50554	0
Rat	363445	0
Rat	rno-miR-21-5p	0
Rat	25631	0
Rat	cpd:C00153	0
Rat	24666	0
Rat	81920	0
Rat	25591	0
Rat	29357	0
Rat	313757	0
Rat	rno-miR-7a-5p	0
Rat	rno-miR-146a-5p	0
Rat	365894	0
Rat	rno-miR-7b	0
Rat	84396	0
Rat	360801	0
Rat	rno-miR-29a-3p	0
Rat	361831	0
Rat	24318	0
Rat	113914	0
Rat	cpd:C05332	0
Rat	25323	0
Rat	294123	0
Rat	302619	0
Rat	170704	0
Rat	25324	0
Rat	294124	0
Rat	25645	0
Rat	25689	0
Rat	294121	0
Rat	25229	0
Rat	cpd:C00788	0
Rat	25083	0
Rat	cpd:C01996	0
Rat	25187	0
Rat	24174	0
Rat	24175	0
Rat	25461	0
Rat	24473	0
Rat	chebi:58432	0
Rat	494319	0
Rat	29581	0
Rat	cpd:C00547	0
Rat	chebi:59905	0
Rat	65032	0
Rat	chebi:57504	0
Rat	53949	0
Rat	24925	0
Rat	rno-miR-30e-5p	0
Rat	319107	0
Rat	29238	0
Rat	319104	0
Rat	24448	0
Rat	29595	0
Rat	24260	0
Rat	81645	0
Rat	25075	0
Rat	25195	0
Rat	29413	0
Rat	29412	0
Rat	25111	0
Rat	85268	0
Rat	25194	0
Rat	171158	0
Rat	81668	0
Rat	25360	0
Rat	25653	0
Rat	25477	0
Rat	366668	0
Rat	25447	0
Rat	25449	0
Rat	315291	0
Rat	300813	0
Rat	304758	0
Rat	100360427	0
Rat	295062	0
Rat	24790	0
Rat	362110	0
Rat	116590	0
Rat	29417	0
Rat	500715	0
Rat	81516	0
Rat	361178	0
Rat	rno-miR-34a-5p	0
Rat	rno-miR-93-5p	0
Rat	303306	0
Rat	cpd:C00819	0
Rat	24398	0
Rat	114027	0
Rat	cpd:C03771	0
Rat	cpd:C01110	0
Rat	cpd:C00065	0
Rat	cpd:C03440	0
Rat	cpd:C04282	0
Rat	685325	0
Rat	192268	0
Rat	cpd:C00763	0
Rat	cpd:C02237	0
Rat	cpd:C00402	0
Rat	cpd:C00740	0
Rat	cpd:C00036	0
Rat	cpd:C00792	0
Rat	cpd:C03564	0
Rat	362769	0
Rat	cpd:C00515	0
Rat	cpd:C00217	0
Rat	cpd:C13821	0
Rat	302425	0
Rat	chebi:57379	0
Rat	cpd:C00040	0
Rat	500368	0
Rat	chebi:75627	0
Rat	293173	0
Rat	cpd:C02588	0
Rat	cpd:C00473	0
Rat	cpd:C01629	0
Rat	679520	0
Rat	cpd:C00823	0
Rat	25737	0
Rat	288479	0
Rat	289758	0
Rat	100360342	0
Rat	287524	0
Rat	chebi:37568	0
Rat	296883	0
Rat	59102	0
Rat	81709	0
Rat	59294	0
Rat	chebi:61481	0
Rat	361698	0
Rat	81685	0
Rat	chebi:61404	0
Rat	chebi:61429	0
Rat	rno-miR-503-5p	0
Rat	rno-miR-141-3p	0
Rat	25522	0
Rat	59086	0
Rat	690516	0
Rat	81810	0
Rat	310655	0
Rat	29591	0
Rat	117273	0
Rat	24185	0
Rat	25233	2.08056701730841
Rat	29414	2.09074107987555
Rat	84482	0
Rat	rno-miR-140-3p	0
Rat	64159	0
Rat	686310	0
Rat	314641	0
Rat	81732	0
Rat	140593	0
Rat	362398	0
Rat	chebi:58456	0
Rat	290905	0
Rat	60352	0
Rat	293621	0
Rat	300802	0
Rat	287989	0
Rat	58960	0
Rat	50687	0
Rat	360546	0
Rat	293508	0
Rat	292788	0
Rat	94268	0
Rat	289257	0
Rat	298528	0
Rat	287876	0
Rat	295378	0
Rat	290361	0
Rat	81504	0
Rat	316369	0
Rat	83805	0
Rat	313644	0
Rat	81751	0
Rat	502694	0
Rat	289820	0
Rat	rno-miR-30a-5p	0
Rat	309280	0
Rat	25454	0
Rat	29376	0
Rat	306570	0
Rat	316009	0
Rat	25453	0
Rat	140941	0
Rat	289392	0
Rat	361537	0
Rat	29491	0
Rat	83709	0
Rat	100361457	0
Rat	rno-miR-181a-5p	0
Rat	24338	0
Rat	84009	0
Rat	cpd:C00249	0
Rat	362993	0
Rat	81650	0
Rat	66023	0
Rat	24586	0
Rat	25311	0
Rat	rno-miR-350	0
Rat	25676	0
Rat	81515	0
Rat	81646	0
Rat	84357	0
Rat	84477	0
Rat	rno-miR-132-3p	0
Rat	81521	0
Rat	84358	0
Rat	79208	0
Rat	171287	0
Rat	297518	0
Rat	306636	0
Rat	rno-miR-1-3p	0
Rat	296789	0
Rat	24553	0
Rat	314384	0
Rat	25525	0
Rat	rno-miR-335	0
Rat	79114	0
Rat	140694	0
Rat	84027	0
Rat	313845	0
Rat	361568	0
Rat	306400	0
Rat	25418	0
Rat	140908	0
Rat	25415	0
Rat	25417	0
Rat	312652	0
Rat	25416	0
Rat	25537	0
Rat	29210	0
Rat	363517	0
Rat	cpd:C00035	0
Rat	83841	0
Rat	chebi:58189	0
Rat	363875	0
Rat	289231	0
Rat	296603	0
Rat	288669	0
Rat	24410	0
Rat	25622	0
Rat	316539	0
Rat	83510	0
Rat	29302	0
Rat	29423	0
Rat	78966	0
Rat	366492	0
Rat	25751	0
Rat	rno-miR-292-5p	0
Rat	314251	0
Rat	689314	0
Rat	315346	0
Rat	25513	0
Rat	299331	0
Rat	29431	0
Rat	81687	0
Rat	361597	0
Rat	29433	0
Rat	29432	0
Rat	310207	0
Rat	81686	0
Rat	85243	0
Rat	84393	0
Rat	chebi:29985	0
Rat	116743	0
Rat	24511	0
Rat	313494	0
Rat	312279	0
Rat	361364	0
Rat	246331	0
Rat	362572	0
Rat	316639	0
Rat	rno-miR-29b-3p	0
Rat	24408	0
Rat	64465	0
Rat	266729	0
Rat	114559	0
Rat	25615	0
Rat	24525	0
Rat	25614	0
Rat	170851	0
Rat	rno-let-7a-5p	0
Rat	59312	0
Rat	60664	0
Rat	85385	0
Rat	65208	0
Rat	310630	0
Rat	116696	0
Rat	301252	0
Rat	171574	0
Rat	360854	0
Rat	116690	0
Rat	54319	0
Rat	rno-miR-384-5p	0
Rat	312275	0
Rat	25150	0
Rat	116683	0
Rat	310643	0
Rat	170911	0
Rat	29751	0
Rat	365872	0
Rat	29192	0
Rat	308458	0
Rat	363457	0
Rat	64373	0
Rat	301227	0
Rat	24716	0
Rat	24718	0
Rat	rno-miR-19b-3p	0
Rat	116549	0
Rat	81824	0
Rat	84427	0
Rat	312477	0
Rat	286908	0
Rat	501203	0
Rat	116671	0
Rat	84423	0
Rat	171119	0
Rat	84422	0
Rat	117523	0
Rat	116554	0
Rat	498898	0
Rat	24605	0
Rat	25136	0
Rat	310192	0
Rat	309081	0
Rat	366508	0
Rat	81822	0
Rat	54227	0
Rat	rno-miR-212-3p	0
Rat	85490	0
Rat	294027	0
Rat	64475	0
Rat	287899	0
Rat	313592	0
Rat	64315	0
Rat	298069	0
Rat	298101	0
Rat	cpd:C00720	0
Rat	29345	0
Rat	85251	0
Rat	305253	0
Rat	361821	0
Rat	301012	0
Rat	83470	0
Rat	chebi:58439	0
Rat	chebi:29036	0
Rat	64367	0
Rat	290350	0
Rat	309380	0
Rat	cpd:C00015	0
Rat	cpd:C00014	0
Rat	84352	0
Rat	290637	0
Rat	29393	0
Rat	192362	0
Rat	84032	0
Rat	24914	0
Rat	499431	0
Rat	29569	0
Rat	353303	0
Rat	297595	0
Rat	25724	0
Rat	312478	0
Rat	cpd:C00026	0
Rat	cpd:C00029	0
Rat	60379	0
Rat	25681	0
Rat	304021	0
Rat	50654	0
Rat	305078	0
Rat	300341	0
Rat	288016	0
Rat	365460	0
Rat	25697	0
Rat	25412	0
Rat	25654	0
Rat	25335	0
Rat	cpd:C00072	0
Rat	286916	0
Rat	315714	0
Rat	362584	0
Rat	114200	0
Rat	hsa-miR-29c-3p	0
Rat	chebi:30031	0
Rat	311716	0
Rat	360526	0
Rat	361612	0
Rat	mmu-miR-26a-5p	0
Rat	288583	0
Rat	24413	0
Rat	299121	0
Rat	298584	0
Rat	192277	0
Rat	81655	0
Rat	361384	0
Rat	252902	0
Rat	rno-miR-494-3p	0
Rat	290798	0
Rat	chebi:29117	0
Rat	300721	0
Rat	362809	0
Rat	260321	0
Rat	24468	0
Rat	25154	0
Rat	691149	0
Rat	25672	0
Rat	493810	0
Rat	rno-miR-138-5p	0
Rat	65028	0
Rat	29167	0
Rat	299850	0
Rat	84428	0
Rat	24472	0
Rat	29489	0
Rat	29564	0
Rat	140734	0
Rat	24208	0
Rat	rno-miR-17-5p	0
Rat	24963	0
Rat	294010	0
Rat	58945	0
Rat	108348108	0
Rat	60460	0
Rat	rno-miR-34c-5p	0
Rat	362504	0
Rat	361810	0
Rat	64199	0
Rat	294962	0
Rat	114117	0
Rat	24400	0
Rat	114118	0
Rat	245986	0
Rat	114119	0
Rat	25601	0
Rat	685451	0
Rat	60449	0
Rat	81666	0
Rat	690825	0
Rat	83579	0
Rat	309242	0
Rat	81667	0
Rat	81662	0
Rat	79218	0
Rat	108349548	0
Rat	89788	0
Rat	680149	0
Rat	58979	0
Rat	497197	0
Rat	rno-miR-26b-5p	0
Rat	24654	0
Rat	hsa-miR-21-5p	0
Rat	24655	0
Rat	chebi:203600	0
Rat	cpd:C00641	0
Rat	362792	0
Rat	50557	0
Rat	287745	0
Rat	rno-miR-216a-5p	0
Rat	308451	0
Rat	25031	0
Rat	85240	0
Rat	171088	0
Rat	500709	0
Rat	mmu-miR-494-3p	0
Rat	81677	0
Rat	rno-miR-181d-3p	0
Rat	140693	0
Rat	54259	0
Rat	85238	0
Rat	chebi:57660	0
Rat	chebi:62918	0
Rat	chebi:58414	0
Rat	65038	0
Rat	24244	0
Rat	rno-miR-351-5p	0
Rat	362590	0
Rat	114633	0
Rat	29337	0
Rat	54260	0
Rat	rno-miR-26a-5p	0
Rat	24242	0
Rat	chebi:57895	0
Rat	50663	0
Rat	287155	0
Rat	81809	0
Rat	361509	0
Rat	297699	0
Rat	500985	0
Rat	59107	0
Rat	292734	0
Rat	25639	0
Rat	25717	0
Rat	311061	0
Rat	83837	0
Rat	287607	0
Rat	83838	0
Rat	54281	0
Rat	25490	0
Rat	311676	0
Rat	364786	0
Rat	362800	0
Rat	117535	0
Rat	24673	0
Rat	314910	0
Rat	315648	0
Rat	315305	0
Rat	116663	0
Rat	60587	0
Rat	501099	0
Rat	24672	0
Rat	114090	0
Rat	117281	0
Rat	25728	0
Rat	chebi:53014	0
Rat	rno-miR-125a-3p	0
Rat	rno-miR-125a-5p	0
Rat	chebi:64294	0
Rat	315108	0
Rat	498638	0
Rat	cpd:C01019	0
Rat	chebi:36144	0
Rat	100360919	0
Rat	chebi:60125	0
Rat	58917	0
Rat	299858	0
Rat	503164	0
Rat	chebi:57880	0
Rat	25081	0
Rat	64023	0
Rat	cpd:C13723	0
Rat	chebi:28640	0
Rat	64202	0
Rat	25377	0
Rat	24464	0
Rat	cpd:C00032	0
Rat	25632	0
Rat	25073	0
Rat	cpd:C00159	0
Rat	362862	0
Rat	cpd:C00012	0
Rat	312701	0
Rat	chebi:17411	0
Rat	24440	0
Rat	chebi:60479	0
Rat	360504	0
Rat	366588	0
Rat	rno-miR-455-5p	0
Rat	cpd:C00338	0
Rat	cpd:C08818	0
Rat	cpd:C02737	0
Rat	302415	0
Rat	rno-miR-23b-5p	0
Rat	60331	0
Rat	cpd:C00777	0
Rat	rno-miR-18a-5p	0
Rat	25498	0
Rat	24577	0
Rat	hsa-miR-18a-5p	0
Rat	362280	0
Rat	301442	0
Rat	363925	0
Rat	303073	0
Rat	360891	0
Rat	116499	0
Rat	682507	0
Rat	24703	0
Rat	303634	0
Rat	301334	0
Rat	305938	0
Rat	cpd:C05981	0
Rat	25114	0
Rat	296456	0
Rat	25118	0
Rat	311144	0
Rat	25594	0
Rat	257645	0
Rat	54245	0
Rat	50685	0
Rat	367858	0
Rat	29271	0
Rat	499271	0
Rat	304813	0
Rat	117558	0
Rat	25444	0
Rat	100360623	0
Rat	81509	0
Rat	25443	0
Rat	24237	0
Rat	54250	0
Rat	367072	0
Rat	81634	0
Rat	79433	0
Rat	299611	0
Rat	29369	0
Rat	362298	0
Rat	29368	0
Rat	171436	0
Rat	170580	0
Rat	170583	0
Rat	170582	0
Rat	288057	0
Rat	100363225	0
Rat	313421	0
Rat	498609	0
Rat	170579	0
Rat	79429	0
Rat	29251	0
Rat	308995	0
Rat	66017	0
Rat	679934	0
Rat	66018	0
Rat	29349	0
Rat	116723	0
Rat	29348	0
Rat	311450	0
Rat	84489	0
Rat	81531	0
Rat	89812	0
Rat	25661	0
Rat	685936	0
Rat	24903	0
Rat	287942	0
Rat	296654	0
Rat	25313	0
Rat	25439	0
Rat	25317	0
Rat	685269	0
Rat	494222	0
Rat	24582	0
Rat	24584	0
Rat	81762	0
Rat	170633	0
Rat	365355	0
Rat	65172	0
Rat	288001	0
Rat	296545	0
Rat	501831	0
Rat	24559	0
Rat	298288	0
Rat	304580	0
Rat	315348	0
Rat	25087	0
Rat	363509	0
Rat	304109	0
Rat	292756	0
Rat	24329	0
Rat	301511	0
Rat	305679	0
Rat	296313	0
Rat	298975	0
Rat	64303	0
Rat	316457	0
Rat	25414	0
Rat	24205	0
Rat	114517	0
Rat	cpd:C04637	0
Rat	685004	0
Rat	81663	0
Rat	365396	0
Rat	cpd:C00681	0
Rat	24772	0
Rat	289759	0
Rat	25745	0
Rat	60628	0
Rat	310683	0
Rat	286928	0
Rat	361223	0
Rat	117183	0
Rat	rno-miR-378a-3p	0
Rat	24669	0
Rat	24668	0
Rat	361598	0
Rat	24782	0
Rat	360820	0
Rat	294568	0
Rat	116744	0
Rat	29524	0
Rat	317189	0
Rat	296078	0
Rat	313024	0
Rat	309684	0
Rat	297173	0
Rat	60663	0
Rat	60662	0
Rat	303342	0
Rat	360606	0
Rat	85384	0
Rat	302378	0
Rat	64350	0
Rat	25267	0
Rat	315655	0
Rat	366957	0
Rat	25022	0
Rat	170921	0
Rat	25021	0
Rat	117542	0
Rat	29741	0
Rat	25266	0
Rat	365865	0
Rat	362119	0
Rat	140607	0
Rat	24506	0
Rat	24505	0
Rat	24629	0
Rat	100911165	0
Rat	64363	0
Rat	24628	0
Rat	309419	0
Rat	363460	0
Rat	102551431	0
Rat	290396	0
Rat	63836	0
Rat	25713	0
Rat	500317	0
Rat	307483	0
Rat	308572	0
Rat	81008	0
Rat	60323	0
Rat	mmu-miR-134-5p	0
Rat	25156	0
Rat	rno-miR-134-5p	0
Rat	291926	0
Rat	cpd:C11554	0
Rat	499076	0
Rat	25245	0
Rat	117517	0
Rat	116670	0
Rat	315744	0
Rat	25482	0
Rat	170700	0
Rat	685513	0
Rat	83577	0
Rat	308666	0
Rat	296710	0
Rat	rno-miR-290	0
Rat	81814	0
Rat	114120	0
Rat	310621	0
Rat	58823	0
Rat	114486	0
Rat	117512	0
Rat	60464	0
Rat	366624	0
Rat	291314	0
Rat	cpd:C06482	0
Rat	368066	0
Rat	cpd:C18904	0
Rat	cpd:C18902	0
Rat	297437	0
Rat	cpd:C05697	0
Rat	cpd:C00041	0
Rat	294103	0
Rat	cpd:C05172	0
Rat	cpd:C06481	0
Rat	679383	0
Rat	299851	0
Rat	361661	0
Rat	311844	0
Rat	50551	0
Rat	58819	0
Rat	cpd:C05335	0
Rat	cpd:C05698	0
Rat	cpd:C05336	0
Rat	cpd:C05699	0
Rat	cpd:C16638	0
Rat	541589	0
Rat	cpd:C05684	0
Rat	cpd:C05686	0
Rat	363285	0
Rat	24962	0
Rat	295443	0
Rat	81522	0
Rat	cpd:C02535	0
Rat	cpd:C05688	0
Rat	cpd:C05689	0
Rat	100911305	0
Rat	cpd:C18872	0
Rat	cpd:C01528	0
Rat	cpd:C05703	0
Rat	308993	0
Rat	chebi:76279	0
Rat	360829	0
Rat	25203	0
Rat	361532	0
Rat	360991	0
Rat	54237	0
Rat	117104	0
Rat	362779	0
Rat	316226	0
Rat	117550	0
Rat	171549	0
Rat	171041	0
Rat	314906	0
Rat	361029	0
Rat	308875	0
Rat	309159	0
Rat	171137	0
Rat	679140	0
Rat	308441	0
Rat	294975	0
Rat	316098	0
Rat	25578	0
Rat	366017	0
Rat	300045	0
Rat	291604	0
Rat	288620	0
Rat	24818	0
Rat	64013	0
Rat	297406	0
Rat	294864	0
Rat	288305	0
Rat	295230	0
Rat	363658	0
Rat	29374	0
Rat	54296	0
Rat	170897	0
Rat	29481	0
Rat	299809	0
Rat	29200	0
Rat	83711	0
Rat	25196	0
Rat	25204	0
Rat	64549	0
Rat	24504	0
Rat	chebi:57705	0
Rat	chebi:60629	0
Rat	140808	0
Rat	81519	0
Rat	294410	0
Rat	chebi:59084	0
Rat	chebi:59092	0
Rat	cpd:C00267	0
Rat	chebi:58223	0
Rat	chebi:59089	0
Rat	chebi:60637	0
Rat	chebi:60625	0
Rat	362625	0
Rat	chebi:59087	0
Rat	chebi:60628	0
Rat	chebi:60627	0
Rat	305509	0
Rat	64532	0
Rat	25289	0
Rat	81636	0
Rat	64508	0
Rat	25725	0
Rat	24679	0
Rat	29241	0
Rat	29699	0
Rat	84420	0
Rat	chebi:58165	0
Rat	24715	0
Rat	302668	0
Rat	113902	0
Rat	25627	0
Rat	290963	0
Rat	113936	0
Rat	252929	0
Rat	302526	0
Rat	24179	0
Rat	24310	0
Rat	64017	0
Rat	54242	0
Rat	24590	0
Rat	cpd:C00698	0
Rat	cpd:C00069	0
Rat	chebi:32682	0
Rat	chebi:601027	0
Rat	cpd:C11555	0
Rat	29688	0
Rat	chebi:57733	0
Rat	cpd:C04563	0
Rat	chebi:58130	0
Rat	310773	0
Rat	cpd:C03557	0
Rat	cpd:C05673	0
Rat	cpd:C05674	0
Rat	cpd:C05675	0
Rat	cpd:C05676	0
Rat	140544	0
Rat	cpd:C06459	0
Rat	89841	0
Rat	286936	0
Rat	362713	0
Rat	362866	0
Rat	rno-miR-16-5p	0
Rat	679539	0
Rat	chebi:59414	0
Rat	25742	0
Rat	81647	0
Rat	314322	0
Rat	311245	0
Rat	309452	0
Rat	309295	0
Rat	500133	0
Rat	363520	0
Rat	300447	0
Rat	313121	0
Rat	362491	0
Rat	287707	0
Rat	rno-miR-351-3p	0
Rat	363855	0
Rat	315139	0
Rat	25272	0
Rat	84351	0
Rat	108350839	0
Rat	303200	0
Rat	24516	0
Rat	305549	0
Rat	116667	0
Rat	315994	0
Rat	309157	0
Rat	114495	0
Rat	296390	0
Rat	362418	0
Rat	308267	0
Rat	50658	0
Rat	305751	0
Rat	305835	0
Rat	rno-miR-499-5p	0
Rat	309165	0
Rat	25493	0
Rat	chebi:59271	0
Rat	309361	0
Rat	54226	0
Rat	rno-miR-195-5p	0
Rat	287102	0
Rat	80722	0
Rat	293897	0
Rat	295445	0
Rat	502097	0
Rat	114107	0
Rat	312781	0
Rat	298941	0
Rat	24446	0
Rat	316758	0
Rat	25473	0
Rat	117036	0
Rat	140433	0
Rat	25704	0
Rat	24918	0
Rat	313050	0
Rat	116689	0
Rat	25125	0
Rat	114103	0
Rat	25126	0
Rat	25746	0
Rat	24514	0
Rat	365769	0
Rat	116630	0
Rat	rno-miR-542-3p	0
Rat	rno-miR-98-5p	0
Rat	116558	0
Rat	25670	0
Rat	25155	0
Rat	308977	0
Rat	cpd:C05590	0
Rat	308129	0
Rat	cpd:C00708	0
Rat	cpd:C07639	0
Rat	chebi:58210	0
Rat	65162	0
